ISO3,country,L,M,H,lon,lat,cumscc,cumpop,id
MAR,Morocco,0.296185419469158,0.582879574043527,0.986250822614218,-8.45615795,29.83762955,-0.0960224297547427,0.21063584619228,96
MDA,Moldova,-0.0161596117136282,-0.00859710556036411,-0.00112820861297615,28.45673372,47.19498804,-0.114205710947999,0.098617503719847,97
MDG,Madagascar,0.0843071340502234,0.137920297633496,0.210256092192825,46.70473674,-19.37189587,-0.112776055769344,0.126612335939574,98
MEX,Mexico,6.47724359431301,11.8962916553903,20.1689526675619,-102.52345169,23.94753724,0.444749769514027,0.883551697045031,99
MKD,Macedonia,-0.0548009897354656,-0.0273014339767579,0.00241271834348041,21.68211346,41.59530893,-0.111864202289734,0.0873419139434187,100
MLI,Mali,0.305300710722971,0.540590248134101,1.06685314454916,-3.54269065,17.34581581,-0.0179839298681082,0.439532566894757,101
MMR,Myanmar (Burma),0.548512489432704,0.911959799063817,1.61904016452154,96.48843321,21.18566599,-0.0318071705286642,0.407429404902514,102
MNE,Montenegro,-0.0233501304884394,-0.0147663458485028,-0.00636573436535928,19.23883939,42.78890259,-0.105064870786995,0.0662031587256811,103
MNG,Mongolia,-0.18407768908373,-0.147181128750416,-0.115288903252406,103.05299765,46.82681544,-0.0990147787394947,0.0580399279663589,104
MOZ,Mozambique,0.211335177613671,0.339637865856544,0.523688733132104,35.53367543,-17.27381643,-0.100478781071272,0.193224277775728,105
MRT,Mauritania,0.169506549665991,0.322190363141169,0.638152864678266,-10.34779815,20.25736706,0.402645062631492,0.858872755776095,106
MUS,Mauritius,0.0927807035117061,0.151172301839862,0.248326284884636,57.57120551,-20.27768704,0.463876278947081,0.893366326931004,107
MWI,Malawi,0.159006909579855,0.264681321473548,0.426048722642754,34.28935599,-13.21808088,-0.0978935733134712,0.204502248042609,108
MYS,Malaysia,4.66077616421888,7.89857595169559,13.545203651995,109.69762284,3.78986846,0.730192020724334,0.990402259244139,109
NAM,Namibia,0.134148490317382,0.242204023636897,0.43568148225118,17.20963567,-22.13032568,0.415409927874259,0.866864062224962,110
NCL,New Caledonia,0.0308240343087362,0.0531417575627201,0.0890869566078558,165.68492374,-21.29991806,0.674158263788296,0.976816667982549,111
NER,Niger,0.403091757334375,0.722280069430076,1.42014796369842,9.38545882,17.41912493,0.00199625690121059,0.474425928196209,112
NGA,Nigeria,7.73327666548992,13.246454646127,24.5049049709337,8.08943895,9.59411452,0.368695389265893,0.83203431291838,113
NIC,Nicaragua,0.0896325240285791,0.147243586502572,0.251295622437779,-85.0305297,12.84709429,-0.0260760944376432,0.423019765873474,114
NLD,Netherlands,-2.03236977485896,-1.20456427268242,-0.371657129085637,5.28144793,52.1007899,-0.0709280213083338,0.0328181026247949,115
NOR,Norway,-2.2508832649474,-1.70318784708718,-1.19980341347049,15.34834656,68.75015572,-0.00420057469704632,0.000717585621943467,116
NPL,Nepal,0.202842607991295,0.343208415678205,0.567763207547379,83.9158264,28.24891365,-0.108802599814125,0.154249433344085,117
NZL,New Zealand,-0.15470891369886,0.00207693154673244,0.184196466560798,171.48492347,-41.81113557,-0.11421505804363,0.102178849686179,118
OMN,Oman,2.08753740231712,3.58929245475464,6.22108779090401,56.09166155,20.60515333,0.757235505135484,0.993069995544515,119
PAK,Pakistan,5.15282295606152,9.04775633165589,17.1276583846356,69.33957937,29.9497515,0.0687291131379232,0.560218936351901,120
PAN,Panama,0.585446884595648,1.01567760868906,1.77789545589974,-80.11915156,8.51750797,0.732696987907321,0.990934166610791,121
PER,Peru,0.378560503354679,0.950639469461617,1.72618283775839,-74.38242685,-9.15280381,-0.00790626151194039,0.458027787465051,122
PHL,Philippines,3.14280805289755,5.11833640493041,8.6187263903058,122.88393253,11.77536778,0.10400370675522,0.602062668527152,123
PNG,Papua New Guinea,0.0958065610615484,0.155917423574225,0.249405049733066,145.20744752,-6.46416646,-0.0293322134823985,0.41460182263574,124
POL,Poland,-2.35812309965473,-1.49490871742103,-0.663416866272147,19.39012835,52.12759564,-0.105028452526469,0.0661169320715147,125
PRT,Portugal,0.139892915314569,0.451458972823089,0.890370886040236,-8.50104361,39.59550671,0.0187634945742071,0.497343703278742,126
PRY,Paraguay,0.171989932404726,0.345822410667337,0.727039262853308,-58.40013703,-23.22823913,0.0913803461374872,0.58755424046683,127
QAT,Qatar,8.10006355960215,15.0751672038805,32.1961424308742,51.18479632,25.30601188,1,1,128
ROU,Romania,-0.521473197314569,-0.279522997274384,-0.0343590882170753,24.97293039,45.85243127,-0.111796868722886,0.0870606193216211,129
RUS,Russia,-14.4489895366891,-11.1415790696941,-7.99141272982819,96.68656112,61.98052209,-0.0677110213303053,0.0303597172347641,130
RWA,Rwanda,0.0947800546657137,0.15997753998978,0.252978494418883,29.91988515,-1.99033832,-0.101316430440316,0.189436917465883,131
